(('Byzantium', '2017-10-10'), 25058292801.0)
(('Byzantium', '2017-10-11'), 30039329444.0)
(('Byzantium', '2017-10-12'), 24512657108.0)
(('Byzantium', '2017-10-13'), 26489325565.0)
(('Byzantium', '2017-10-14'), 24196653845.0)
(('Byzantium', '2017-10-15'), 23514174126.0)
(('Byzantium', '2017-10-16'), 16678649825.0)
(('Byzantium', '2017-10-17'), 14194850634.0)
(('Byzantium', '2017-10-18'), 14081137033.0)
(('Byzantium', '2017-10-19'), 12100849868.0)
(('Byzantium', '2017-10-20'), 14610296315.0)
(('Byzantium', '2017-10-21'), 12128683877.0)
(('Byzantium', '2017-10-22'), 10666208189.0)
(('Byzantium', '2017-10-8'), 21051671916.0)
(('Byzantium', '2017-10-9'), 24174030452.0)
(('Constantinople', '2019-2-21'), 15301279312.0)
(('Constantinople', '2019-2-22'), 14906500367.0)
(('Constantinople', '2019-2-23'), 14038665092.0)
(('Constantinople', '2019-2-24'), 16250710476.0)
(('Constantinople', '2019-2-25'), 17016748385.0)
(('Constantinople', '2019-2-26'), 17411522198.0)
(('Constantinople', '2019-2-27'), 16333133968.0)
(('Constantinople', '2019-2-28'), 18828795385.0)
(('Constantinople', '2019-3-1'), 12927381010.0)
(('Constantinople', '2019-3-2'), 12055153413.0)
(('Constantinople', '2019-3-3'), 11963576046.0)
(('Constantinople', '2019-3-4'), 12586925298.0)
(('Constantinople', '2019-3-5'), 13416451614.0)
(('Constantinople', '2019-3-6'), 13941269746.0)
(('Homestead', '2016-3-10'), 30204433046.0)
(('Homestead', '2016-3-11'), 29035652694.0)
(('Homestead', '2016-3-12'), 29197411911.0)
(('Homestead', '2016-3-13'), 30820960382.0)
(('Homestead', '2016-3-14'), 28509995012.0)
(('Homestead', '2016-3-15'), 26342144976.0)
(('Homestead', '2016-3-16'), 25523949148.0)
(('Homestead', '2016-3-17'), 27708932990.0)
(('Homestead', '2016-3-18'), 26302902479.0)
(('Homestead', '2016-3-19'), 29326753003.0)
(('Homestead', '2016-3-20'), 26655411712.0)
(('Homestead', '2016-3-21'), 26198708914.0)
(('Homestead', '2016-3-8'), 53595079870.0)
(('Homestead', '2016-3-9'), 38089619701.0)
(('Spurious Dragon', '2016-11-16'), 24744831659.0)
(('Spurious Dragon', '2016-11-17'), 24333883462.0)
(('Spurious Dragon', '2016-11-18'), 24779293462.0)
(('Spurious Dragon', '2016-11-19'), 24367176414.0)
(('Spurious Dragon', '2016-11-20'), 24297865024.0)
(('Spurious Dragon', '2016-11-21'), 24827550548.0)
(('Spurious Dragon', '2016-11-22'), 23328942477.0)
(('Spurious Dragon', '2016-11-23'), 24571404784.0)
(('Spurious Dragon', '2016-11-24'), 27957005767.0)
(('Spurious Dragon', '2016-11-25'), 17357950828.0)
(('Spurious Dragon', '2016-11-26'), 24476330142.0)
(('Spurious Dragon', '2016-11-27'), 25187618136.0)
(('Spurious Dragon', '2016-11-28'), 25725607641.0)
(('Spurious Dragon', '2016-11-29'), 25162584778.0)
