('2016-07', 2.7189589706124973e+17)
('2016-08', 3.3090653484252375e+18)
('2016-09', 3.664407855239305e+18)
('2016-10', 3.788507105874579e+18)
('2016-11', 2.0424184181240325e+18)
('2016-12', 7.338033309097374e+16)
('2017-01', 9.008018607132123e+16)
('2017-02', 8.077608327164776e+16)
('2017-03', 4.00254721187793e+17)
('2017-04', 3.894301116248705e+17)
('2017-05', 1.449051216981582e+18)
('2017-06', 5.343278085539456e+18)
('2017-07', 6.519868087058372e+18)
('2017-08', 1.0088681022978378e+19)
('2017-09', 1.4819432308195152e+19)
('2017-10', 1.126343492342151e+19)
('2017-11', 1.5588975032167338e+19)
('2017-12', 3.6429620739654885e+19)
('2018-01', 7.3465569729391305e+19)
('2018-02', 3.5853841953898934e+19)
('2018-03', 2.4797656505109783e+19)
('2018-04', 1.8190956842146023e+19)
('2018-05', 1.7230088406829412e+19)
('2018-06', 1.115981773601841e+19)
('2018-10', 2.6635525662553176e+16)
('2019-01', 5016104683133135.0)
('2019-03', 3738051403883900.0)
('2019-04', 1868782580019087)
('2019-05', 5716621807119833.0)
('2019-06', 4075830573246786.0)
