["2015", "09"]	173805
["2015", "10"]	205045
["2015", "12"]	347092
["2016", "02"]	520040
["2016", "04"]	1023096
["2016", "06"]	1351536
["2016", "08"]	1405743
["2016", "11"]	1301586
["2017", "01"]	1409664
["2017", "03"]	2426471
["2017", "05"]	4245516
["2017", "07"]	7835875
["2017", "09"]	10672734
["2017", "10"]	12570063
["2017", "12"]	26687692
["2018", "02"]	22231978
["2018", "04"]	20876642
["2018", "06"]	22471788
["2018", "08"]	19842059
["2018", "11"]	16713911
["2019", "01"]	16569597
["2019", "03"]	18029582
["2019", "05"]	24332475
["2015", "08"]	85609
["2015", "11"]	234733
["2016", "01"]	404816
["2016", "03"]	917170
["2016", "05"]	1346796
["2016", "07"]	1356907
["2016", "09"]	1387412
["2016", "10"]	1329847
["2016", "12"]	1316131
["2017", "02"]	1410048
["2017", "04"]	2539966
["2017", "06"]	7244657
["2017", "08"]	10523178
["2017", "11"]	15292269
["2018", "01"]	33504270
["2018", "03"]	20261862
["2018", "05"]	25105717
["2018", "07"]	19937033
["2018", "09"]	16056742
["2018", "10"]	17056926
["2018", "12"]	17107601
["2019", "02"]	13413899
["2019", "04"]	19830158
["2019", "06"]	25613628
