["2015", "09"]	7.0464679457674535e+19
["2015", "10"]	7.416931809333862e+19
["2015", "12"]	2.6764096183940583e+19
["2016", "02"]	6.55476087599054e+19
["2016", "04"]	2.2670632047054135e+19
["2016", "06"]	3.0490334850065605e+19
["2016", "08"]	5.908198737290209e+19
["2016", "11"]	3.964431643835122e+19
["2017", "01"]	5.620285956535166e+19
["2017", "03"]	1.770215809422227e+20
["2017", "05"]	1.2484777365193273e+20
["2017", "07"]	6.4981463792721e+19
["2017", "09"]	3.438888521827938e+19
["2017", "10"]	2.6736910424748003e+19
["2017", "12"]	1.3737046580115218e+19
["2018", "02"]	6.230362795090817e+18
["2018", "04"]	2.449268234852099e+18
["2018", "06"]	2.8085234163056374e+18
["2018", "08"]	2.3989507981126523e+18
["2018", "11"]	5.397909048901716e+18
["2019", "01"]	4.454813888902492e+18
["2019", "03"]	3.823274668677927e+18
["2019", "05"]	4.005277417445827e+18
["2015", "08"]	4.8052118459597835e+20
["2015", "11"]	5.948474386250283e+19
["2016", "01"]	6.106607047719591e+19
["2016", "03"]	4.5853064127780815e+19
["2016", "05"]	4.7046609524468195e+19
["2016", "07"]	9.577823510582716e+19
["2016", "09"]	3.2627612247557157e+19
["2016", "10"]	3.2444426339709395e+19
["2016", "12"]	6.146658677538069e+19
["2017", "02"]	5.558009016262998e+19
["2017", "04"]	1.1135007462190998e+20
["2017", "06"]	5.678772230936606e+19
["2017", "08"]	4.827395651885326e+19
["2017", "11"]	2.96411032747405e+19
["2018", "01"]	1.11645727207502e+19
["2018", "03"]	2.728079891162356e+18
["2018", "05"]	2.4981909136531256e+18
["2018", "07"]	2.2749347554396106e+18
["2018", "09"]	3.733481101982448e+18
["2018", "10"]	3.070402143025912e+18
["2018", "12"]	5.944894163484742e+18
["2019", "02"]	3.980845264511403e+18
["2019", "04"]	4.1280245320091075e+18
["2019", "06"]	3.0362427767092367e+18
